index,Datetime,Open,High,Low,Close,cont_up,cont_down,hl2,lin_reg,1_std_up,1_std_down
0,2022-05-26 06:00:00,4000.25,4001.25,3999.25,4001.25,,,4000.25,3999.311559139785,4006.186559139785,3992.436559139785
1,2022-05-26 06:01:00,4001.0,4001.25,4000.25,4000.75,,,4000.75,3998.925129773823,4005.800129773823,3992.050129773823
2,2022-05-26 06:02:00,4000.75,4001.25,3998.25,3999.0,,,3999.75,3998.5387004078607,4005.4137004078607,3991.6637004078607
3,2022-05-26 06:03:00,3999.0,4000.0,3998.0,3999.25,,,3999.0,3998.1522710418985,4005.0272710418985,3991.2772710418985
4,2022-05-26 06:04:00,3999.0,3999.25,3997.0,3997.25,,,3998.125,3997.7658416759364,4004.6408416759364,3990.8908416759364
5,2022-05-26 06:05:00,3997.25,3997.5,3995.25,3996.25,,,3996.375,3997.379412309974,4004.254412309974,3990.504412309974
6,2022-05-26 06:06:00,3996.0,3996.5,3995.0,3996.25,,,3995.75,3996.992982944012,4003.867982944012,3990.117982944012
7,2022-05-26 06:07:00,3996.0,3998.25,3996.0,3996.5,,,3997.125,3996.60655357805,4003.48155357805,3989.73155357805
8,2022-05-26 06:08:00,3996.75,3996.75,3994.25,3994.75,,,3995.5,3996.2201242120877,4003.0951242120877,3989.3451242120877
9,2022-05-26 06:09:00,3995.0,3995.5,3994.5,3995.25,,,3995.0,3995.8336948461256,4002.7086948461256,3988.9586948461256
10,2022-05-26 06:10:00,3995.25,3996.0,3993.5,3993.75,,,3994.75,3995.4472654801634,4002.3222654801634,3988.5722654801634
11,2022-05-26 06:11:00,3994.0,3995.75,3993.75,3995.25,,,3994.75,3995.060836114201,4001.935836114201,3988.185836114201
12,2022-05-26 06:12:00,3995.25,3996.25,3995.0,3995.5,,,3995.625,3994.6744067482387,4001.5494067482387,3987.7994067482387
13,2022-05-26 06:13:00,3995.5,3995.5,3994.75,3995.0,,,3995.125,3994.2879773822765,4001.1629773822765,3987.4129773822765
14,2022-05-26 06:14:00,3995.25,3996.25,3994.75,3995.25,,,3995.5,3993.9015480163143,4000.7765480163143,3987.0265480163143
15,2022-05-26 06:15:00,3995.25,3995.5,3993.0,3993.25,,,3994.25,3993.515118650352,4000.390118650352,3986.640118650352
16,2022-05-26 06:16:00,3993.25,3993.75,3990.0,3990.5,,,3991.875,3993.12868928439,4000.00368928439,3986.25368928439
17,2022-05-26 06:17:00,3990.5,3991.75,3989.75,3990.25,,,3990.75,3992.742259918428,3999.617259918428,3985.867259918428
18,2022-05-26 06:18:00,3990.25,3991.0,3989.0,3989.75,,,3990.0,3992.3558305524657,3999.2308305524657,3985.4808305524657
19,2022-05-26 06:19:00,3989.75,3991.0,3989.5,3990.0,,,3990.25,3991.9694011865035,3998.8444011865035,3985.0944011865035
